ENSG00000146083.10	RNF44
ENSG00000196428.11	TSC22D2
ENSG00000135077.7	HAVCR2
ENSG00000050393.10	MCUR1
ENSG00000105939.11	ZC3HAV1
ENSG00000020256.18	ZFP64
ENSG00000001461.15	NIPAL3
ENSG00000101596.13	SMCHD1
ENSG00000172594.11	SMPDL3A
ENSG00000135842.15	NIBAN1
ENSG00000110721.10	CHKA
ENSG00000120278.13	PLEKHG1
ENSG00000154642.9	C21orf91
ENSG00000130449.5	ZSWIM6
ENSG00000145725.18	PPIP5K2
ENSG00000153922.9	CHD1
ENSG00000155111.13	CDK19
ENSG00000112624.11	BICRAL
ENSG00000165799.4	RNASE7
ENSG00000159128.13	IFNGR2
ENSG00000076003.4	MCM6
ENSG00000156463.16	SH3RF2
ENSG00000123700.4	KCNJ2
ENSG00000152492.12	CCDC50
ENSG00000056277.14	ZNF280C
ENSG00000144028.13	SNRNP200
ENSG00000236287.6	ZBED5
ENSG00000280120.1	
ENSG00000174243.8	DDX23
ENSG00000166750.8	SLFN5
ENSG00000132305.19	IMMT
ENSG00000070214.14	SLC44A1
ENSG00000005339.11	CREBBP
ENSG00000171227.6	TMEM37
ENSG00000153904.17	DDAH1
ENSG00000008282.6	SYPL1
ENSG00000118816.8	CCNI
ENSG00000107882.10	SUFU
ENSG00000074054.16	CLASP1
ENSG00000186566.10	GPATCH8
ENSG00000160190.12	SLC37A1
ENSG00000182903.14	ZNF721
ENSG00000184232.7	OAF
ENSG00000164951.14	PDP1
ENSG00000113658.15	SMAD5
ENSG00000163346.15	PBXIP1
ENSG00000104497.12	SNX16
ENSG00000116199.10	FAM20B
ENSG00000128989.9	ARPP19
ENSG00000146386.7	ABRACL
ENSG00000015133.17	CCDC88C
ENSG00000062725.8	APPBP2
ENSG00000109736.13	MFSD10
ENSG00000049618.20	ARID1B
ENSG00000125835.16	SNRPB
ENSG00000076770.13	MBNL3
ENSG00000269335.4	IKBKG
ENSG00000100558.7	PLEK2
ENSG00000163141.17	BNIPL
ENSG00000185009.11	AP3M1
ENSG00000169490.15	TM2D2
ENSG00000166002.5	SMCO4
ENSG00000231503.4	
ENSG00000107566.12	ERLIN1
ENSG00000139697.10	SBNO1
ENSG00000253352.7	
ENSG00000177302.13	TOP3A
ENSG00000180448.9	ARHGAP45
ENSG00000075539.12	FRYL
ENSG00000177283.5	FZD8
ENSG00000141447.15	OSBPL1A
ENSG00000128394.15	APOBEC3F
ENSG00000100897.16	DCAF11
ENSG00000156304.13	SCAF4
ENSG00000113575.8	PPP2CA
ENSG00000164494.10	PDSS2
ENSG00000131149.16	GSE1
ENSG00000088986.9	DYNLL1
ENSG00000259431.4	THTPA
ENSG00000244405.6	ETV5
ENSG00000139718.9	SETD1B
ENSG00000157741.13	UBN2
ENSG00000111300.8	NAA25
ENSG00000112144.14	
ENSG00000065154.10	OAT
ENSG00000280411.1	IGHV1-69D
ENSG00000141646.12	SMAD4
ENSG00000115539.12	PDCL3
ENSG00000111897.6	SERINC1
ENSG00000011405.12	PIK3C2A
ENSG00000167754.11	KLK5
ENSG00000169045.16	HNRNPH1
ENSG00000103111.13	MON1B
ENSG00000163563.7	MNDA
ENSG00000143376.11	SNX27
ENSG00000215114.6	UBXN2B
ENSG00000148773.11	MKI67
ENSG00000178234.11	GALNT11
ENSG00000185880.11	TRIM69
ENSG00000152409.8	JMY
ENSG00000159459.10	UBR1
ENSG00000119401.10	TRIM32
ENSG00000075275.15	CELSR1
ENSG00000130734.8	ATG4D
ENSG00000130304.15	SLC27A1
ENSG00000146094.12	DOK3
ENSG00000164294.12	GPX8
ENSG00000165219.20	GAPVD1
ENSG00000198040.9	ZNF84
ENSG00000072364.11	AFF4
ENSG00000159592.9	GPBP1L1
ENSG00000135476.10	ESPL1
ENSG00000111725.9	PRKAB1
ENSG00000066422.4	ZBTB11
ENSG00000124786.9	SLC35B3
ENSG00000145833.14	DDX46
ENSG00000011454.15	RABGAP1
ENSG00000128059.7	PPAT
ENSG00000144746.6	ARL6IP5
ENSG00000128045.6	RASL11B
ENSG00000119969.13	HELLS
ENSG00000140961.11	OSGIN1
ENSG00000188997.6	KCTD21
ENSG00000275395.3	FCGBP
ENSG00000135945.8	REV1
ENSG00000132313.13	MRPL35
ENSG00000108599.13	AKAP10
ENSG00000113013.11	HSPA9
ENSG00000155329.10	ZCCHC10
ENSG00000118785.12	SPP1
ENSG00000121039.8	RDH10
ENSG00000120685.18	PROSER1
ENSG00000160310.15	PRMT2
ENSG00000273033.2	
ENSG00000000938.11	FGR
ENSG00000171711.2	DEFB4B
ENSG00000122035.6	RASL11A
ENSG00000108384.13	RAD51C
ENSG00000101557.13	USP14
ENSG00000197299.9	BLM
ENSG00000112763.14	BTN2A1
ENSG00000174744.12	BRMS1
ENSG00000003393.13	ALS2
ENSG00000146476.9	ARMT1
ENSG00000271122.1	
ENSG00000128928.7	IVD
ENSG00000113810.14	SMC4
ENSG00000167395.10	ZNF646
ENSG00000164244.19	PRRC1
ENSG00000092820.16	EZR
ENSG00000129675.14	ARHGEF6
ENSG00000086189.8	DIMT1
ENSG00000170113.14	NIPA1
ENSG00000156411.8	ATP5MPL
ENSG00000129422.12	MTUS1
ENSG00000145332.12	KLHL8
ENSG00000101782.13	RIOK3
ENSG00000261189.1	
ENSG00000096063.13	SRPK1
ENSG00000136940.12	PDCL
ENSG00000206418.3	RAB12
ENSG00000134259.3	NGF
ENSG00000198689.8	SLC9A6
ENSG00000213713.3	
ENSG00000133226.15	SRRM1
ENSG00000063978.14	RNF4
ENSG00000177888.7	ZBTB41
ENSG00000166888.9	STAT6
ENSG00000097007.16	ABL1
ENSG00000139263.10	LRIG3
ENSG00000125821.10	DTD1
ENSG00000118855.17	MFSD1
ENSG00000178363.4	CALML3
ENSG00000183337.15	BCOR
ENSG00000168961.15	LGALS9
ENSG00000164830.16	OXR1
ENSG00000169951.8	ZNF764
ENSG00000041802.9	LSG1
ENSG00000162522.9	KIAA1522
ENSG00000141385.8	AFG3L2
ENSG00000130638.14	ATXN10
ENSG00000178996.11	SNX18
ENSG00000061987.13	MON2
ENSG00000080345.16	RIF1
ENSG00000151576.9	QTRT2
ENSG00000070610.13	GBA2
ENSG00000204482.9	LST1
ENSG00000142949.15	PTPRF
ENSG00000123444.12	KBTBD4
ENSG00000168778.10	TCTN2
ENSG00000263753.5	
ENSG00000101752.10	MIB1
ENSG00000151553.13	FAM160B1
ENSG00000198231.11	DDX42
ENSG00000162378.11	ZYG11B
ENSG00000280088.1	
ENSG00000144524.16	COPS7B
ENSG00000090097.19	PCBP4
ENSG00000080561.12	MID2
ENSG00000167264.16	DUS2
ENSG00000176871.7	WSB2
ENSG00000149177.11	PTPRJ
ENSG00000196072.10	BLOC1S2
ENSG00000123607.13	TTC21B
ENSG00000140992.17	PDPK1
ENSG00000188647.11	PTAR1
ENSG00000196914.7	ARHGEF12
ENSG00000185838.12	GNB1L
ENSG00000159166.12	LAD1
ENSG00000155561.13	NUP205
ENSG00000119596.16	YLPM1
ENSG00000125538.10	IL1B
ENSG00000176463.12	SLCO3A1
ENSG00000197894.9	ADH5
ENSG00000125818.16	PSMF1
ENSG00000081377.15	CDC14B
ENSG00000185236.10	RAB11B
ENSG00000011258.14	MBTD1
ENSG00000111679.15	PTPN6
ENSG00000135108.13	FBXO21
ENSG00000196526.9	AFAP1
ENSG00000137812.18	KNL1
ENSG00000164118.11	CEP44
ENSG00000072310.15	SREBF1
ENSG00000211972.2	IGHV3-66
ENSG00000038219.11	BOD1L1
ENSG00000152455.14	SUV39H2
ENSG00000159259.7	CHAF1B
ENSG00000163131.9	CTSS
ENSG00000132199.17	ENOSF1
ENSG00000147601.12	TERF1
ENSG00000114948.11	ADAM23
ENSG00000215717.5	TMEM167B
ENSG00000181220.14	ZNF746
ENSG00000183530.12	PRR14L
ENSG00000103319.10	EEF2K
ENSG00000254087.6	LYN
ENSG00000127838.12	PNKD
ENSG00000197442.9	MAP3K5
ENSG00000187257.13	RSBN1L
ENSG00000006125.15	AP2B1
ENSG00000187764.10	SEMA4D
ENSG00000023445.12	BIRC3
ENSG00000271643.1	
ENSG00000105523.3	FAM83E
ENSG00000170745.10	KCNS3
ENSG00000173156.5	RHOD
ENSG00000162636.14	FAM102B
ENSG00000165671.17	NSD1
ENSG00000103978.14	TMEM87A
ENSG00000129173.11	E2F8
ENSG00000196683.9	TOMM7
ENSG00000138160.5	KIF11
ENSG00000167716.17	WDR81
ENSG00000180739.13	S1PR5
ENSG00000169469.8	SPRR1B
ENSG00000135838.12	NPL
ENSG00000006530.14	AGK
ENSG00000180979.8	LRRC57
ENSG00000162458.11	FBLIM1
ENSG00000197632.7	SERPINB2
ENSG00000111605.15	CPSF6
ENSG00000164088.16	PPM1M
ENSG00000115904.11	SOS1
