ENSG00000121644.17	DESI2
ENSG00000089220.4	PEBP1
ENSG00000184508.9	HDDC3
ENSG00000102445.17	RUBCNL
ENSG00000173193.12	PARP14
ENSG00000116353.14	MECR
ENSG00000126603.7	GLIS2
ENSG00000197568.12	HHLA3
ENSG00000106683.13	LIMK1
ENSG00000163832.14	ELP6
ENSG00000161021.10	MAML1
ENSG00000090520.9	DNAJB11
ENSG00000197603.12	CPLANE1
ENSG00000162337.10	LRP5
ENSG00000081041.8	CXCL2
ENSG00000257151.1	
ENSG00000108344.13	PSMD3
ENSG00000124942.12	AHNAK
ENSG00000068796.15	KIF2A
ENSG00000167272.9	POP5
ENSG00000174721.9	FGFBP3
ENSG00000174917.7	MICOS13
ENSG00000179178.9	TMEM125
ENSG00000227540.1	
ENSG00000142188.15	TMEM50B
ENSG00000273611.3	ZNHIT3
ENSG00000121879.3	PIK3CA
ENSG00000104517.11	UBR5
ENSG00000112695.10	COX7A2
ENSG00000100522.7	GNPNAT1
ENSG00000148154.8	UGCG
ENSG00000129460.14	NGDN
ENSG00000172819.15	RARG
ENSG00000166578.8	IQCD
ENSG00000169155.8	ZBTB43
ENSG00000214309.4	MBLAC1
ENSG00000182117.5	NOP10
ENSG00000232388.4	SMIM26
ENSG00000147416.9	ATP6V1B2
ENSG00000224805.2	
ENSG00000205726.12	ITSN1
ENSG00000270006.2	
ENSG00000269293.2	
ENSG00000277972.1	CISD3
ENSG00000105607.11	GCDH
ENSG00000196544.7	BORCS6
ENSG00000005893.14	LAMP2
ENSG00000142409.5	ZNF787
ENSG00000071054.14	MAP4K4
ENSG00000271737.1	
ENSG00000259065.1	
ENSG00000166562.7	SEC11C
ENSG00000189306.9	RRP7A
ENSG00000242372.5	EIF6
ENSG00000204219.8	TCEA3
ENSG00000183172.8	SMDT1
ENSG00000140262.16	TCF12
ENSG00000053254.14	FOXN3
ENSG00000109016.16	DHRS7B
ENSG00000105993.13	DNAJB6
ENSG00000166557.11	TMED3
ENSG00000114648.10	KLHL18
ENSG00000138175.8	ARL3
ENSG00000109390.10	NDUFC1
ENSG00000281912.1	
ENSG00000100242.14	SUN2
ENSG00000179051.12	RCC2
ENSG00000075391.15	RASAL2
ENSG00000187605.14	TET3
ENSG00000187051.7	RPS19BP1
ENSG00000111843.12	TMEM14C
ENSG00000228084.1	
ENSG00000123810.6	B9D2
ENSG00000171858.16	RPS21
ENSG00000131653.11	TRAF7
ENSG00000167191.10	GPRC5B
ENSG00000148925.9	BTBD10
ENSG00000130701.3	RBBP8NL
ENSG00000144824.18	PHLDB2
ENSG00000263731.1	
ENSG00000135269.16	TES
ENSG00000184164.13	CRELD2
ENSG00000169239.11	CA5B
ENSG00000162520.13	SYNC
ENSG00000099308.9	MAST3
ENSG00000078246.14	TULP3
ENSG00000204228.3	HSD17B8
ENSG00000179029.13	TMEM107
ENSG00000135521.8	LTV1
ENSG00000185808.12	PIGP
ENSG00000185591.8	SP1
ENSG00000101974.13	ATP11C
ENSG00000272106.1	
ENSG00000269893.5	
ENSG00000231663.1	
ENSG00000110042.6	DTX4
ENSG00000011028.12	MRC2
ENSG00000140750.15	ARHGAP17
ENSG00000009335.16	UBE3C
ENSG00000162066.13	AMDHD2
ENSG00000135821.15	GLUL
ENSG00000004399.11	PLXND1
ENSG00000151692.13	RNF144A
ENSG00000156239.10	N6AMT1
ENSG00000166341.7	DCHS1
ENSG00000179021.8	C3orf38
ENSG00000272368.2	
ENSG00000106080.9	FKBP14
ENSG00000005801.15	ZNF195
ENSG00000181830.8	SLC35C1
ENSG00000132561.12	MATN2
ENSG00000205981.5	DNAJC19
ENSG00000090975.11	PITPNM2
ENSG00000196642.14	RABL6
ENSG00000077238.12	IL4R
ENSG00000204227.4	RING1
ENSG00000099624.6	ATP5F1D
ENSG00000108961.12	RANGRF
ENSG00000118058.19	KMT2A
ENSG00000164930.10	FZD6
ENSG00000108055.9	SMC3
ENSG00000110925.5	CSRNP2
ENSG00000279377.1	
ENSG00000181038.12	METTL23
ENSG00000198171.11	DDRGK1
ENSG00000153936.15	HS2ST1
ENSG00000071082.9	RPL31
ENSG00000085449.13	WDFY1
ENSG00000115042.8	FAHD2A
ENSG00000149091.14	DGKZ
ENSG00000130766.4	SESN2
ENSG00000196968.9	FUT11
ENSG00000171456.15	ASXL1
ENSG00000205423.10	CNEP1R1
ENSG00000137168.7	PPIL1
ENSG00000188735.11	TMEM120B
ENSG00000121104.6	FAM117A
ENSG00000054116.10	TRAPPC3
ENSG00000176903.4	PNMA1
ENSG00000272523.1	
ENSG00000179562.2	GCC1
ENSG00000174106.2	LEMD3
ENSG00000184897.5	H1FX
ENSG00000171443.6	ZNF524
ENSG00000164603.10	BMT2
ENSG00000112234.7	FBXL4
ENSG00000230795.2	
ENSG00000198832.9	SELENOM
ENSG00000104872.9	PIH1D1
ENSG00000111653.18	ING4
ENSG00000101773.15	RBBP8
ENSG00000095951.15	HIVEP1
ENSG00000144061.11	NPHP1
ENSG00000196793.12	ZNF239
ENSG00000185963.12	BICD2
ENSG00000135972.7	MRPS9
ENSG00000128228.4	SDF2L1
ENSG00000172361.5	CFAP53
ENSG00000172939.7	OXSR1
ENSG00000048649.12	RSF1
ENSG00000131507.10	NDFIP1
ENSG00000167747.12	C19orf48
ENSG00000233016.5	
ENSG00000160256.11	FAM207A
ENSG00000175115.10	PACS1
ENSG00000149480.5	MTA2
ENSG00000069869.14	NEDD4
ENSG00000232859.8	LYRM9
ENSG00000198856.11	OSTC
ENSG00000175582.18	RAB6A
ENSG00000121310.15	ECHDC2
ENSG00000122877.12	EGR2
ENSG00000135372.7	NAT10
ENSG00000175895.3	PLEKHF2
ENSG00000198746.11	GPATCH3
ENSG00000105171.8	POP4
ENSG00000228559.1	
ENSG00000164164.14	OTUD4
ENSG00000114331.11	ACAP2
ENSG00000163251.3	FZD5
ENSG00000177663.12	IL17RA
ENSG00000156273.14	BACH1
ENSG00000103528.15	SYT17
ENSG00000180902.15	D2HGDH
ENSG00000131558.13	EXOC4
ENSG00000101460.11	MAP1LC3A
ENSG00000129535.11	NRL
ENSG00000120868.12	APAF1
ENSG00000184384.12	MAML2
ENSG00000150455.12	TIRAP
ENSG00000169683.6	LRRC45
ENSG00000139517.7	LNX2
ENSG00000102034.15	ELF4
ENSG00000275494.1	
ENSG00000105618.12	PRPF31
ENSG00000161249.19	DMKN
ENSG00000249637.1	
ENSG00000111639.6	MRPL51
ENSG00000115211.14	EIF2B4
ENSG00000115825.8	PRKD3
ENSG00000137210.12	TMEM14B
ENSG00000244045.9	TMEM199
ENSG00000072849.9	DERL2
ENSG00000188243.11	COMMD6
ENSG00000183011.12	NAA38
ENSG00000250486.3	FAM218A
ENSG00000228789.5	
ENSG00000170248.12	PDCD6IP
ENSG00000129244.7	ATP1B2
ENSG00000146376.9	ARHGAP18
ENSG00000166889.13	PATL1
ENSG00000130725.6	UBE2M
ENSG00000143771.10	CNIH4
ENSG00000100596.5	SPTLC2
ENSG00000143575.13	HAX1
ENSG00000053371.11	AKR7A2
ENSG00000112514.14	CUTA
ENSG00000078269.12	SYNJ2
ENSG00000229833.8	PET100
ENSG00000066185.11	ZMYND12
ENSG00000130770.16	ATP5IF1
ENSG00000135842.15	NIBAN1
ENSG00000120278.13	PLEKHG1
ENSG00000138496.15	PARP9
ENSG00000100865.13	CINP
ENSG00000155304.5	HSPA13
ENSG00000007202.13	KIAA0100
ENSG00000151458.10	ANKRD50
ENSG00000274104.1	
ENSG00000233527.7	
ENSG00000104883.6	PEX11G
ENSG00000153922.9	CHD1
ENSG00000204060.5	FOXO6
ENSG00000004455.15	AK2
ENSG00000148429.13	USP6NL
ENSG00000161013.15	MGAT4B
ENSG00000225733.4	
ENSG00000156928.4	MALSU1
ENSG00000186153.15	WWOX
ENSG00000110218.7	PANX1
ENSG00000152475.6	ZNF837
ENSG00000143416.19	SELENBP1
ENSG00000106628.9	POLD2
ENSG00000141971.11	MVB12A
ENSG00000136237.17	RAPGEF5
ENSG00000122882.9	ECD
ENSG00000008282.6	SYPL1
ENSG00000164011.16	ZNF691
ENSG00000107882.10	SUFU
ENSG00000268516.2	
ENSG00000027697.11	IFNGR1
ENSG00000072110.12	ACTN1
ENSG00000170089.14	
ENSG00000170315.12	UBB
ENSG00000105617.3	LENG1
ENSG00000086827.7	ZW10
ENSG00000133250.12	ZNF414
ENSG00000128641.16	MYO1B
ENSG00000116199.10	FAM20B
ENSG00000158526.7	TSR2
ENSG00000148290.8	SURF1
ENSG00000169689.13	CENPX
ENSG00000100558.7	PLEK2
ENSG00000234456.6	
ENSG00000164713.8	BRI3
ENSG00000185043.9	CIB1
ENSG00000254612.2	
ENSG00000170881.4	RNF139
ENSG00000101400.5	SNTA1
ENSG00000164048.12	ZNF589
ENSG00000271780.1	
ENSG00000164494.10	PDSS2
ENSG00000155393.11	HEATR3
ENSG00000146648.14	EGFR
ENSG00000255690.2	TRIL
ENSG00000170222.11	ADPRM
ENSG00000112981.4	NME5
ENSG00000160180.15	TFF3
ENSG00000233325.3	
ENSG00000085733.14	CTTN
ENSG00000143514.15	TP53BP2
ENSG00000253948.1	
ENSG00000111912.17	NCOA7
ENSG00000137962.11	ARHGAP29
ENSG00000164933.10	SLC25A32
ENSG00000171940.12	ZNF217
ENSG00000198937.8	CCDC167
ENSG00000140950.14	MEAK7
ENSG00000235453.6	SMIM27
ENSG00000078018.18	MAP2
ENSG00000179218.12	CALR
ENSG00000273015.2	
ENSG00000111678.9	C12orf57
ENSG00000125148.6	MT2A
ENSG00000188997.6	KCTD21
ENSG00000132313.13	MRPL35
ENSG00000126088.11	UROD
ENSG00000159714.9	ZDHHC1
ENSG00000257698.1	
ENSG00000204291.9	COL15A1
ENSG00000131871.13	SELENOS
ENSG00000124767.6	GLO1
ENSG00000169291.8	SHE
ENSG00000184857.7	TMEM186
ENSG00000266032.1	
ENSG00000186395.6	KRT10
ENSG00000145050.14	MANF
ENSG00000162222.12	TTC9C
ENSG00000120685.18	PROSER1
ENSG00000047410.12	TPR
ENSG00000140463.12	BBS4
ENSG00000125458.5	NT5C
ENSG00000113532.11	ST8SIA4
ENSG00000108384.13	RAD51C
ENSG00000183155.4	RABIF
ENSG00000135924.14	DNAJB2
ENSG00000169641.12	LUZP1
ENSG00000267296.2	
ENSG00000139044.9	B4GALNT3
ENSG00000105698.14	USF2
ENSG00000224848.1	
ENSG00000115944.13	COX7A2L
ENSG00000165512.4	ZNF22
ENSG00000137478.13	FCHSD2
ENSG00000086189.8	DIMT1
ENSG00000143079.13	CTTNBP2NL
ENSG00000156411.8	ATP5MPL
ENSG00000089693.9	MLF2
ENSG00000052795.11	FNIP2
ENSG00000206418.3	RAB12
ENSG00000117036.10	ETV3
ENSG00000080815.17	PSEN1
ENSG00000130222.9	GADD45G
ENSG00000134247.9	PTGFRN
ENSG00000109320.10	NFKB1
ENSG00000237190.3	CDKN2AIPNL
ENSG00000034713.6	GABARAPL2
ENSG00000183513.7	COA5
ENSG00000097007.16	ABL1
ENSG00000148840.9	PPRC1
ENSG00000257084.1	
ENSG00000173821.18	RNF213
ENSG00000108641.13	B9D1
ENSG00000135801.8	TAF5L
ENSG00000178996.11	SNX18
ENSG00000145337.4	PYURF
ENSG00000167183.2	PRR15L
ENSG00000158528.10	PPP1R9A
ENSG00000173517.9	PEAK1
ENSG00000160588.8	MPZL3
ENSG00000170469.9	SPATA24
ENSG00000219928.2	
ENSG00000101752.10	MIB1
ENSG00000104825.15	NFKBIB
ENSG00000132541.9	RIDA
ENSG00000167264.16	DUS2
ENSG00000137076.17	TLN1
ENSG00000131116.10	ZNF428
ENSG00000196914.7	ARHGEF12
ENSG00000170836.10	PPM1D
ENSG00000155561.13	NUP205
ENSG00000112473.15	SLC39A7
ENSG00000188641.11	DPYD
ENSG00000057757.8	PITHD1
ENSG00000104689.8	TNFRSF10A
ENSG00000156471.11	PTDSS1
ENSG00000188157.12	AGRN
ENSG00000213930.10	GALT
ENSG00000196526.9	AFAP1
ENSG00000165757.8	JCAD
ENSG00000205544.3	TMEM256
ENSG00000129474.14	AJUBA
ENSG00000108561.7	C1QBP
ENSG00000171861.9	MRM3
ENSG00000160685.12	ZBTB7B
ENSG00000124201.13	ZNFX1
ENSG00000026103.18	FAS
ENSG00000173992.7	CCS
ENSG00000261526.2	
ENSG00000244187.6	TMEM141
ENSG00000259917.1	
ENSG00000169020.8	ATP5ME
ENSG00000145623.11	OSMR
ENSG00000054965.9	FAM168A
ENSG00000079335.16	CDC14A
ENSG00000108523.14	RNF167
ENSG00000248275.1	
ENSG00000136802.10	LRRC8A
ENSG00000184924.5	PTRHD1
ENSG00000187098.13	MITF
ENSG00000100221.9	JOSD1
ENSG00000196465.9	MYL6B
ENSG00000173947.12	PIFO
ENSG00000170291.13	ELP5
ENSG00000263050.1	
ENSG00000132669.11	RIN2
ENSG00000100281.12	HMGXB4
ENSG00000162434.10	JAK1
ENSG00000138085.15	ATRAID
ENSG00000250988.6	
ENSG00000278385.1	
ENSG00000117419.13	ERI3
ENSG00000130312.5	MRPL34
ENSG00000068366.18	ACSL4
ENSG00000103994.15	ZNF106
ENSG00000272288.4	
ENSG00000167981.5	ZNF597
ENSG00000246067.6	
ENSG00000011275.17	RNF216
ENSG00000197183.11	NOL4L
ENSG00000119431.8	HDHD3
ENSG00000160058.17	BSDC1
ENSG00000170860.3	LSM3
ENSG00000156253.5	RWDD2B
ENSG00000169696.14	ASPSCR1
ENSG00000125691.11	RPL23
ENSG00000004142.10	POLDIP2
ENSG00000169826.7	CSGALNACT2
ENSG00000173540.11	GMPPB
ENSG00000142627.12	EPHA2
ENSG00000110514.17	MADD
ENSG00000131876.15	SNRPA1
ENSG00000133398.3	MED10
ENSG00000167508.9	MVD
ENSG00000177469.12	CAVIN1
ENSG00000138119.15	MYOF
ENSG00000179743.3	
ENSG00000169964.5	TMEM42
ENSG00000183735.8	TBK1
ENSG00000070882.11	OSBPL3
ENSG00000198830.9	HMGN2
ENSG00000105677.10	TMEM147
ENSG00000168003.15	SLC3A2
ENSG00000170889.12	RPS9
ENSG00000167685.13	ZNF444
ENSG00000119559.14	C19orf25
ENSG00000138604.8	GLCE
ENSG00000166333.12	ILK
ENSG00000197256.9	KANK2
ENSG00000132591.10	ERAL1
ENSG00000105855.8	ITGB8
ENSG00000160948.12	VPS28
ENSG00000159200.16	RCAN1
ENSG00000178982.8	EIF3K
ENSG00000166261.9	ZNF202
ENSG00000066933.14	MYO9A
ENSG00000197102.9	DYNC1H1
ENSG00000184986.9	TMEM121
ENSG00000100116.15	GCAT
ENSG00000233483.2	
ENSG00000183978.7	COA3
ENSG00000167491.16	GATAD2A
ENSG00000158186.11	MRAS
ENSG00000108830.9	RND2
ENSG00000157978.10	LDLRAP1
ENSG00000126254.10	RBM42
ENSG00000197321.13	SVIL
ENSG00000175130.6	MARCKSL1
ENSG00000185262.8	UBALD2
ENSG00000117533.13	VAMP4
ENSG00000173402.10	DAG1
ENSG00000213079.8	SCAF8
ENSG00000229659.1	
ENSG00000249592.4	
ENSG00000188070.9	C11orf95
ENSG00000101665.7	SMAD7
ENSG00000102189.15	EEA1
ENSG00000149256.13	TENM4
ENSG00000232229.4	
ENSG00000142676.11	RPL11
ENSG00000050767.14	COL23A1
ENSG00000047849.20	MAP4
ENSG00000242265.4	PEG10
ENSG00000162144.8	CYB561A3
ENSG00000176105.12	YES1
ENSG00000196576.13	PLXNB2
ENSG00000032389.11	EIPR1
ENSG00000151353.13	TMEM18
ENSG00000132109.9	TRIM21
ENSG00000107819.12	SFXN3
ENSG00000260260.1	
ENSG00000100612.12	DHRS7
ENSG00000154734.13	ADAMTS1
ENSG00000150687.10	PRSS23
ENSG00000131023.11	LATS1
ENSG00000247092.5	
ENSG00000259704.1	
ENSG00000147065.15	MSN
ENSG00000145494.10	NDUFS6
ENSG00000080845.16	DLGAP4
ENSG00000135956.7	TMEM127
ENSG00000203943.7	SAMD13
ENSG00000105669.11	COPE
ENSG00000100348.8	TXN2
ENSG00000229539.1	
ENSG00000112367.9	FIG4
ENSG00000140577.14	CRTC3
ENSG00000151746.12	BICD1
ENSG00000132612.15	VPS4A
ENSG00000213625.7	LEPROT
ENSG00000130414.10	NDUFA10
ENSG00000178105.8	DDX10
ENSG00000108854.14	SMURF2
ENSG00000104228.11	TRIM35
ENSG00000105514.6	RAB3D
ENSG00000279865.1	
ENSG00000176915.13	ANKLE2
ENSG00000025423.10	HSD17B6
ENSG00000196715.5	VKORC1L1
ENSG00000171130.16	ATP6V0E2
ENSG00000129562.9	DAD1
ENSG00000173039.17	RELA
ENSG00000119682.15	AREL1
ENSG00000034677.10	RNF19A
ENSG00000133026.11	MYH10
ENSG00000204386.9	NEU1
ENSG00000100030.13	MAPK1
ENSG00000187566.4	NHLRC1
ENSG00000078124.10	ACER3
ENSG00000176624.10	MEX3C
ENSG00000262686.1	
ENSG00000063601.15	MTMR1
ENSG00000128951.12	DUT
ENSG00000082805.18	ERC1
ENSG00000158195.9	WASF2
ENSG00000138073.12	PREB
ENSG00000118418.13	HMGN3
ENSG00000138459.7	SLC35A5
ENSG00000027847.12	B4GALT7
ENSG00000014216.14	CAPN1
ENSG00000042753.10	AP2S1
ENSG00000173120.13	KDM2A
ENSG00000197582.5	
ENSG00000276182.1	
ENSG00000223612.3	
ENSG00000123095.5	BHLHE41
ENSG00000148814.16	LRRC27
ENSG00000081014.9	AP4E1
ENSG00000100647.7	SUSD6
ENSG00000164654.14	MIOS
ENSG00000065057.6	NTHL1
ENSG00000197912.12	SPG7
ENSG00000164008.12	C1orf50
ENSG00000141404.14	GNAL
ENSG00000173757.8	STAT5B
ENSG00000164741.13	DLC1
ENSG00000120889.11	TNFRSF10B
ENSG00000154079.5	SDHAF4
ENSG00000270010.1	
ENSG00000118162.12	KPTN
ENSG00000136718.8	IMP4
ENSG00000114779.18	ABHD14B
ENSG00000139370.9	SLC15A4
ENSG00000142751.13	GPN2
ENSG00000125827.7	TMX4
ENSG00000164163.9	ABCE1
ENSG00000223797.4	
ENSG00000105640.11	RPL18A
ENSG00000162840.4	
ENSG00000167987.9	VPS37C
ENSG00000117868.14	ESYT2
ENSG00000153982.9	GDPD1
ENSG00000173581.6	CCDC106
ENSG00000141696.11	P3H4
ENSG00000099797.10	TECR
ENSG00000035681.6	NSMAF
ENSG00000100345.19	MYH9
ENSG00000160188.8	RSPH1
ENSG00000125611.14	CHCHD5
ENSG00000105619.12	TFPT
ENSG00000173163.9	COMMD1
ENSG00000181513.13	ACBD4
ENSG00000136153.18	LMO7
ENSG00000100139.12	MICALL1
ENSG00000160746.11	ANO10
ENSG00000256894.1	
ENSG00000147606.7	SLC26A7
ENSG00000168092.12	PAFAH1B2
ENSG00000170852.9	KBTBD2
ENSG00000181852.16	RNF41
ENSG00000108826.14	MRPL27
ENSG00000161671.15	EMC10
ENSG00000104320.12	NBN
ENSG00000185739.12	SRL
ENSG00000161677.10	JOSD2
ENSG00000161920.8	MED11
ENSG00000152818.17	UTRN
ENSG00000104361.8	NIPAL2
ENSG00000231920.1	
ENSG00000077514.7	POLD3
ENSG00000120800.4	UTP20
ENSG00000198721.11	ECI2
ENSG00000172667.9	ZMAT3
ENSG00000122335.12	SERAC1
ENSG00000099942.11	CRKL
ENSG00000276846.1	
ENSG00000160051.10	IQCC
ENSG00000158062.19	UBXN11
ENSG00000009954.9	BAZ1B
ENSG00000138769.9	CDKL2
ENSG00000271380.1	
ENSG00000234608.6	
ENSG00000204789.4	
ENSG00000177096.7	PHETA2
ENSG00000264247.1	
ENSG00000041988.14	THAP3
ENSG00000116030.15	SUMO1
ENSG00000054277.11	OPN3
ENSG00000164576.10	SAP30L
ENSG00000156030.11	MIDEAS
ENSG00000196456.7	ZNF775
ENSG00000232112.3	TMA7
ENSG00000237310.1	
ENSG00000169715.13	MT1E
ENSG00000258708.1	
ENSG00000106299.7	WASL
ENSG00000120899.16	PTK2B
ENSG00000135677.9	GNS
ENSG00000233223.2	
ENSG00000151136.13	BTBD11
ENSG00000105404.9	RABAC1
ENSG00000185305.9	ARL15
ENSG00000005810.16	MYCBP2
ENSG00000067900.6	ROCK1
ENSG00000144815.13	NXPE3
ENSG00000163788.12	SNRK
ENSG00000276007.1	
ENSG00000249572.1	
ENSG00000180611.6	MB21D2
ENSG00000139055.5	ERP27
ENSG00000170634.11	ACYP2
ENSG00000271918.1	
ENSG00000106003.11	LFNG
ENSG00000162869.14	PPP1R21
ENSG00000197694.12	SPTAN1
ENSG00000220749.4	
ENSG00000103550.12	KNOP1
ENSG00000237765.5	FAM200B
ENSG00000129197.13	RPAIN
ENSG00000095209.10	TMEM38B
ENSG00000197555.8	SIPA1L1
ENSG00000172586.7	CHCHD1
ENSG00000160226.14	CFAP410
ENSG00000137171.13	KLC4
ENSG00000166833.18	NAV2
ENSG00000122545.16	SEPTIN7
ENSG00000236859.5	
ENSG00000117305.13	HMGCL
ENSG00000144451.17	SPAG16
ENSG00000176658.15	MYO1D
ENSG00000138771.13	SHROOM3
ENSG00000121089.4	
ENSG00000104983.7	CCDC61
ENSG00000197020.9	ZNF100
ENSG00000164402.12	SEPTIN8
ENSG00000123200.15	ZC3H13
ENSG00000173621.8	LRFN4
ENSG00000265107.2	GJA5
ENSG00000246089.3	
ENSG00000168615.10	ADAM9
ENSG00000099330.7	OCEL1
ENSG00000114316.11	USP4
ENSG00000163347.5	CLDN1
ENSG00000151491.11	EPS8
ENSG00000271020.1	
ENSG00000169609.12	C15orf40
ENSG00000177125.5	ZBTB34
ENSG00000062716.9	VMP1
ENSG00000244538.1	
ENSG00000167515.9	TRAPPC2L
ENSG00000178980.13	SELENOW
ENSG00000155313.14	USP25
ENSG00000162373.11	BEND5
ENSG00000104805.14	NUCB1
ENSG00000146592.15	CREB5
ENSG00000084112.13	SSH1
ENSG00000102967.10	DHODH
ENSG00000235997.2	
ENSG00000091986.14	CCDC80
ENSG00000272606.1	
