ENSG00000146083.10	RNF44
ENSG00000173320.8	STOX2
ENSG00000196345.11	ZKSCAN7
ENSG00000138380.16	CARF
ENSG00000198727.2	MT-CYB
ENSG00000177738.3	
ENSG00000064199.5	SPA17
ENSG00000100949.13	RABGGTA
ENSG00000270223.1	
ENSG00000227199.1	
ENSG00000165887.10	ANKRD2
ENSG00000118961.13	LDAH
ENSG00000182768.8	NGRN
ENSG00000120594.15	PLXDC2
ENSG00000130640.12	TUBGCP2
ENSG00000179144.4	GIMAP7
ENSG00000078699.20	CBFA2T2
ENSG00000260196.1	
ENSG00000203797.8	DDO
ENSG00000172819.15	RARG
ENSG00000103316.9	CRYM
ENSG00000106479.9	ZNF862
ENSG00000169155.8	ZBTB43
ENSG00000134533.5	RERG
ENSG00000111711.8	GOLT1B
ENSG00000135525.17	MAP7
ENSG00000109133.11	TMEM33
ENSG00000224014.1	
ENSG00000118514.12	ALDH8A1
ENSG00000235142.6	
ENSG00000096384.18	HSP90AB1
ENSG00000164074.13	ABHD18
ENSG00000229782.1	
ENSG00000074964.15	ARHGEF10L
ENSG00000137601.14	NEK1
ENSG00000269293.2	
ENSG00000154265.14	ABCA5
ENSG00000134852.13	CLOCK
ENSG00000105221.15	AKT2
ENSG00000120162.9	MOB3B
ENSG00000012171.16	SEMA3B
ENSG00000119986.6	AVPI1
ENSG00000157191.18	NECAP2
ENSG00000158286.11	RNF207
ENSG00000170927.13	PKHD1
ENSG00000205791.3	
ENSG00000164066.11	INTU
ENSG00000037757.12	MRI1
ENSG00000177613.8	CSTF2T
ENSG00000106610.13	
ENSG00000008513.13	ST3GAL1
ENSG00000184434.7	LRRC19
ENSG00000204219.8	TCEA3
ENSG00000250451.4	
ENSG00000177406.4	
ENSG00000150712.9	MTMR12
ENSG00000134709.9	HOOK1
ENSG00000123374.9	CDK2
ENSG00000086102.17	NFX1
ENSG00000179299.15	NSUN7
ENSG00000118096.6	IFT46
ENSG00000187676.7	B3GLCT
ENSG00000100450.11	GZMH
ENSG00000109390.10	NDUFC1
ENSG00000281912.1	
ENSG00000102100.13	SLC35A2
ENSG00000196693.13	ZNF33B
ENSG00000167767.12	KRT80
ENSG00000272308.1	
ENSG00000167286.8	CD3D
ENSG00000226337.3	
ENSG00000100505.12	TRIM9
ENSG00000164463.11	CREBRF
ENSG00000228439.4	
ENSG00000152348.14	ATG10
ENSG00000188906.12	LRRK2
ENSG00000135775.12	COG2
ENSG00000106025.7	TSPAN12
ENSG00000151806.12	GUF1
ENSG00000184602.5	SNN
ENSG00000164466.11	SFXN1
ENSG00000180787.5	ZFP3
ENSG00000154359.11	LONRF1
ENSG00000010318.18	PHF7
ENSG00000143158.9	MPC2
ENSG00000174405.12	LIG4
ENSG00000170629.13	
ENSG00000198690.8	FAN1
ENSG00000142920.15	AZIN2
ENSG00000101421.3	CHMP4B
ENSG00000272106.1	
ENSG00000123933.13	MXD4
ENSG00000187866.7	FAM122A
ENSG00000140750.15	ARHGAP17
ENSG00000148356.12	LRSAM1
ENSG00000234506.4	
ENSG00000277072.3	
ENSG00000129696.11	TTI2
ENSG00000151729.9	SLC25A4
ENSG00000179010.13	MRFAP1
ENSG00000143028.8	SYPL2
ENSG00000071243.14	ING3
ENSG00000196236.11	XPNPEP3
ENSG00000113966.8	ARL6
ENSG00000119414.10	PPP6C
ENSG00000250934.1	
ENSG00000113761.10	ZNF346
ENSG00000186496.9	ZNF396
ENSG00000272368.2	
ENSG00000221069.1	
ENSG00000159899.13	NPR2
ENSG00000153832.10	FBXO36
ENSG00000268568.1	
ENSG00000182871.13	COL18A1
ENSG00000091127.12	PUS7
ENSG00000167740.8	CYB5D2
ENSG00000007923.14	DNAJC11
ENSG00000246695.6	
ENSG00000059377.14	TBXAS1
ENSG00000131508.14	UBE2D2
ENSG00000228262.7	
ENSG00000247774.5	
ENSG00000138796.14	HADH
ENSG00000133393.11	FOPNL
ENSG00000187815.8	ZFP69
ENSG00000135040.14	NAA35
ENSG00000148218.14	ALAD
ENSG00000135926.11	TMBIM1
ENSG00000179542.14	
ENSG00000148468.15	FAM171A1
ENSG00000179523.4	
ENSG00000149091.14	DGKZ
ENSG00000137075.16	RNF38
ENSG00000138286.13	FAM149B1
ENSG00000141337.11	ARSG
ENSG00000177990.10	DPY19L2
ENSG00000173614.12	NMNAT1
ENSG00000188283.10	ZNF383
ENSG00000076555.14	ACACB
ENSG00000079246.14	XRCC5
ENSG00000132464.10	ENAM
ENSG00000223482.6	
ENSG00000107560.9	RAB11FIP2
ENSG00000226137.5	
ENSG00000137871.18	ZNF280D
ENSG00000186364.10	NUDT17
ENSG00000028137.15	TNFRSF1B
ENSG00000205659.9	LIN52
ENSG00000197142.9	ACSL5
ENSG00000124532.13	MRS2
ENSG00000198482.9	ZNF808
ENSG00000186814.11	ZSCAN30
ENSG00000257303.1	
ENSG00000198894.6	CIPC
ENSG00000225377.4	
ENSG00000161544.8	CYGB
ENSG00000144061.11	NPHP1
ENSG00000185963.12	BICD2
ENSG00000205707.9	ETFRF1
ENSG00000213144.2	
ENSG00000259976.1	
ENSG00000172361.5	CFAP53
ENSG00000182484.13	
ENSG00000182013.16	PNMA8A
ENSG00000099204.17	ABLIM1
ENSG00000261455.1	
ENSG00000204338.7	
ENSG00000119487.15	MAPKAP1
ENSG00000148730.6	
ENSG00000084693.14	AGBL5
ENSG00000175115.10	PACS1
ENSG00000259673.4	
ENSG00000074603.17	DPP8
ENSG00000232859.8	LYRM9
ENSG00000198856.11	OSTC
ENSG00000259887.1	
ENSG00000121310.15	ECHDC2
ENSG00000129187.13	DCTD
ENSG00000260231.1	
ENSG00000267221.1	C17orf113
ENSG00000129518.7	EAPP
ENSG00000128000.14	ZNF780B
ENSG00000165152.7	TMEM246
ENSG00000165475.12	CRYL1
ENSG00000196843.14	ARID5A
ENSG00000269896.2	
ENSG00000189143.9	CLDN4
ENSG00000069399.11	BCL3
ENSG00000068885.13	IFT80
ENSG00000109775.9	UFSP2
ENSG00000162894.10	FCMR
ENSG00000183605.15	SFXN4
ENSG00000140848.15	CPNE2
ENSG00000112796.8	ENPP5
ENSG00000168152.11	THAP9
ENSG00000117091.8	CD48
ENSG00000176399.3	DMRTA1
ENSG00000145649.7	GZMA
ENSG00000246022.2	
ENSG00000169554.15	ZEB2
ENSG00000249637.1	
ENSG00000247934.4	
ENSG00000005882.10	PDK2
ENSG00000177700.5	POLR2L
ENSG00000154310.15	TNIK
ENSG00000112343.10	TRIM38
ENSG00000197548.11	ATG7
ENSG00000170370.11	EMX2
ENSG00000145743.14	FBXL17
ENSG00000149474.12	KAT14
ENSG00000242193.8	
ENSG00000164609.8	SLU7
ENSG00000183011.12	NAA38
ENSG00000141219.14	C17orf80
ENSG00000185946.14	RNPC3
ENSG00000095261.12	PSMD5
ENSG00000260285.1	
ENSG00000172456.15	FGGY
ENSG00000080823.20	MOK
ENSG00000270587.1	
ENSG00000117595.9	IRF6
ENSG00000111058.6	ACSS3
ENSG00000012963.12	UBR7
ENSG00000099992.14	TBC1D10A
ENSG00000139508.13	SLC46A3
ENSG00000049883.13	PTCD2
ENSG00000245694.7	
ENSG00000119509.11	INVS
ENSG00000262558.1	
ENSG00000165275.8	TRMT10B
ENSG00000260884.1	
ENSG00000172348.13	RCAN2
ENSG00000257337.5	
ENSG00000053371.11	AKR7A2
ENSG00000173221.12	GLRX
ENSG00000278600.1	
ENSG00000164117.11	FBXO8
ENSG00000204860.4	
ENSG00000275964.1	
ENSG00000136160.13	EDNRB
ENSG00000154309.8	DISP1
ENSG00000066185.11	ZMYND12
ENSG00000165699.12	TSC1
ENSG00000172594.11	SMPDL3A
ENSG00000156587.14	UBE2L6
ENSG00000106976.17	DNM1
ENSG00000153790.10	C7orf31
ENSG00000197841.13	ZNF181
ENSG00000231123.1	
ENSG00000241158.4	
ENSG00000136783.9	NIPSNAP3A
ENSG00000150054.17	MPP7
ENSG00000258824.2	
ENSG00000004455.15	AK2
ENSG00000267254.4	
ENSG00000160345.11	C9orf116
ENSG00000101096.18	NFATC2
ENSG00000134769.20	DTNA
ENSG00000165698.14	SPACA9
ENSG00000117020.15	AKT3
ENSG00000240859.1	
ENSG00000013810.17	TACC3
ENSG00000143624.12	INTS3
ENSG00000186153.15	WWOX
ENSG00000177854.7	TMEM187
ENSG00000174243.8	DDX23
ENSG00000133460.18	SLC2A11
ENSG00000110628.12	SLC22A18
ENSG00000115526.9	CHST10
ENSG00000065357.18	DGKA
ENSG00000224616.1	
ENSG00000182903.14	ZNF721
ENSG00000184232.7	OAF
ENSG00000152556.14	PFKM
ENSG00000158526.7	TSR2
ENSG00000100365.13	NCF4
ENSG00000158050.4	DUSP2
ENSG00000090432.6	MUL1
ENSG00000164342.11	TLR3
ENSG00000067601.7	
ENSG00000234456.6	
ENSG00000165138.15	ANKS6
ENSG00000175741.5	
ENSG00000119943.9	PYROXD2
ENSG00000164344.14	KLKB1
ENSG00000279672.1	
ENSG00000273001.1	
ENSG00000102796.9	DHRS12
ENSG00000183323.11	CCDC125
ENSG00000162654.8	GBP4
ENSG00000103196.10	CRISPLD2
ENSG00000171234.12	UGT2B7
ENSG00000172543.6	CTSW
ENSG00000183161.4	FANCF
ENSG00000247796.2	
ENSG00000270194.1	
ENSG00000141447.15	OSBPL1A
ENSG00000130045.14	NXNL2
ENSG00000089159.14	PXN
ENSG00000163219.10	ARHGAP25
ENSG00000204934.9	
ENSG00000112981.4	NME5
ENSG00000166920.9	C15orf48
ENSG00000112146.15	FBXO9
ENSG00000142065.12	ZFP14
ENSG00000233325.3	
ENSG00000214413.6	BBIP1
ENSG00000253948.1	
ENSG00000205542.9	TMSB4X
ENSG00000260274.1	
ENSG00000156345.16	CDK20
ENSG00000132122.10	SPATA6
ENSG00000215114.6	UBXN2B
ENSG00000105374.8	NKG7
ENSG00000185880.11	TRIM69
ENSG00000132846.5	ZBED3
ENSG00000186088.14	GSAP
ENSG00000083720.11	OXCT1
ENSG00000154760.12	SLFN13
ENSG00000130734.8	ATG4D
ENSG00000198939.6	ZFP2
ENSG00000235453.6	SMIM27
ENSG00000165219.20	GAPVD1
ENSG00000174599.5	TRAM1L1
ENSG00000152953.11	STK32B
ENSG00000100583.4	SAMD15
ENSG00000273015.2	
ENSG00000167216.15	KATNAL2
ENSG00000113141.14	IK
ENSG00000199332.1	
ENSG00000111725.9	PRKAB1
ENSG00000011454.15	RABGAP1
ENSG00000236871.5	
ENSG00000259146.3	
ENSG00000112530.10	PACRG
ENSG00000188483.7	IER5L
ENSG00000156381.7	ANKRD9
ENSG00000112425.12	EPM2A
ENSG00000204685.6	
ENSG00000104177.16	MYEF2
ENSG00000104142.9	VPS18
ENSG00000160439.14	RDH13
ENSG00000104814.11	MAP4K1
ENSG00000116824.4	CD2
ENSG00000140463.12	BBS4
ENSG00000107020.8	PLGRKT
ENSG00000126947.10	ARMCX1
ENSG00000250133.2	
ENSG00000128928.7	IVD
ENSG00000281649.1	
ENSG00000139537.9	CCDC65
ENSG00000135722.7	FBXL8
ENSG00000164323.11	CFAP97
ENSG00000183615.5	FAM167B
ENSG00000151470.11	C4orf33
ENSG00000164902.12	PHAX
ENSG00000271420.1	
ENSG00000103005.10	USB1
ENSG00000175283.7	DOLK
ENSG00000237436.1	
ENSG00000164125.14	GASK1B
ENSG00000251562.6	
ENSG00000112031.14	MTRF1L
ENSG00000262766.1	
ENSG00000248092.6	
ENSG00000122735.14	DNAI1
ENSG00000076258.8	FMO4
ENSG00000242474.1	
ENSG00000164691.15	TAGAP
ENSG00000111319.11	SCNN1A
ENSG00000181264.7	TLCD5
ENSG00000070610.13	GBA2
ENSG00000160588.8	MPZL3
ENSG00000168778.10	TCTN2
ENSG00000170469.9	SPATA24
ENSG00000263753.5	
ENSG00000196547.13	MAN2A2
ENSG00000170899.9	GSTA4
ENSG00000207770.1	
ENSG00000132541.9	RIDA
ENSG00000215808.2	
ENSG00000123607.13	TTC21B
ENSG00000230074.1	
ENSG00000168497.4	CAVIN2
ENSG00000112339.13	HBS1L
ENSG00000213593.8	TMX2
ENSG00000188647.11	PTAR1
ENSG00000166263.12	STXBP4
ENSG00000148187.16	MRRF
ENSG00000237172.3	B3GNT9
ENSG00000072657.7	TRHDE
ENSG00000197894.9	ADH5
ENSG00000166289.5	PLEKHF1
ENSG00000081377.15	CDC14B
ENSG00000213930.10	GALT
ENSG00000269176.2	
ENSG00000111679.15	PTPN6
ENSG00000266094.5	RASSF5
ENSG00000231530.1	
ENSG00000164118.11	CEP44
ENSG00000205544.3	TMEM256
ENSG00000254909.1	
ENSG00000066230.9	SLC9A3
ENSG00000119661.13	DNAL1
ENSG00000132199.17	ENOSF1
ENSG00000115756.11	HPCAL1
ENSG00000067836.11	ROGDI
ENSG00000254087.6	LYN
ENSG00000183346.6	CABCOCO1
ENSG00000122741.14	DCAF10
ENSG00000166821.7	PEX11A
ENSG00000130177.13	CDC16
ENSG00000117640.16	MTFR1L
ENSG00000120910.13	PPP3CC
ENSG00000066322.11	ELOVL1
ENSG00000165671.17	NSD1
ENSG00000157911.8	PEX10
ENSG00000024862.15	CCDC28A
ENSG00000113328.17	CCNG1
ENSG00000255277.3	
ENSG00000162458.11	FBLIM1
ENSG00000204262.10	COL5A2
ENSG00000272086.1	
ENSG00000222894.1	
ENSG00000234664.1	
ENSG00000100568.9	VTI1B
ENSG00000136802.10	LRRC8A
ENSG00000138759.16	FRAS1
ENSG00000126870.14	WDR60
ENSG00000143353.10	LYPLAL1
ENSG00000107864.13	CPEB3
ENSG00000167895.13	TMC8
ENSG00000255455.2	
ENSG00000174428.15	GTF2IRD2B
ENSG00000119383.18	PTPA
ENSG00000173947.12	PIFO
ENSG00000117411.15	B4GALT2
ENSG00000168906.11	MAT2A
ENSG00000011021.20	CLCN6
ENSG00000241155.1	
ENSG00000277734.3	TRAC
ENSG00000103994.15	ZNF106
ENSG00000147535.15	PLPP5
ENSG00000131669.8	NINJ1
ENSG00000178773.13	CPNE7
ENSG00000070756.12	PABPC1
ENSG00000101384.10	JAG1
ENSG00000011485.13	PPP5C
ENSG00000198130.13	HIBCH
ENSG00000182552.13	RWDD4
ENSG00000130311.9	DDA1
ENSG00000119977.19	TCTN3
ENSG00000119431.8	HDHD3
ENSG00000160058.17	BSDC1
ENSG00000172315.5	TP53RK
ENSG00000038274.15	MAT2B
ENSG00000181085.13	MAPK15
ENSG00000088298.11	EDEM2
ENSG00000253854.1	
ENSG00000153563.14	CD8A
ENSG00000170464.8	DNAJC18
ENSG00000146112.10	PPP1R18
ENSG00000119723.14	COQ6
ENSG00000189334.7	S100A14
ENSG00000154978.11	VOPP1
ENSG00000149792.7	MRPL49
ENSG00000171160.16	MORN4
ENSG00000079950.12	STX7
ENSG00000124228.13	DDX27
ENSG00000165209.17	STRBP
ENSG00000181754.6	AMIGO1
ENSG00000179743.3	
ENSG00000169964.5	TMEM42
ENSG00000125386.13	FAM193A
ENSG00000157869.13	RAB28
ENSG00000088367.19	EPB41L1
ENSG00000177508.11	IRX3
ENSG00000105516.9	DBP
ENSG00000124939.5	SCGB2A1
ENSG00000128581.14	IFT22
ENSG00000126067.10	PSMB2
ENSG00000112996.8	
ENSG00000183576.11	SETD3
ENSG00000090621.12	PABPC4
ENSG00000213839.4	
ENSG00000115129.12	TP53I3
ENSG00000139567.11	ACVRL1
ENSG00000113522.12	RAD50
ENSG00000110711.8	AIP
ENSG00000067829.17	IDH3G
ENSG00000151575.13	TEX9
ENSG00000170871.10	KIAA0232
ENSG00000183354.10	KIAA2026
ENSG00000066933.14	MYO9A
ENSG00000185250.14	PPIL6
ENSG00000072832.13	CRMP1
ENSG00000154640.13	BTG3
ENSG00000131470.13	PSMC3IP
ENSG00000271581.1	
ENSG00000100116.15	GCAT
ENSG00000171621.12	SPSB1
ENSG00000182986.11	ZNF320
ENSG00000158186.11	MRAS
ENSG00000205929.8	C21orf62
ENSG00000203760.7	CENPW
ENSG00000197989.12	
ENSG00000175931.11	UBE2O
ENSG00000122862.4	SRGN
ENSG00000225704.2	
ENSG00000169242.10	EFNA1
ENSG00000163083.5	INHBB
ENSG00000107295.9	SH3GL2
ENSG00000148153.12	INIP
ENSG00000171310.9	CHST11
ENSG00000258682.1	
ENSG00000106538.8	RARRES2
ENSG00000154099.16	DNAAF1
ENSG00000139531.11	SUOX
ENSG00000100997.17	ABHD12
ENSG00000168259.13	DNAJC7
ENSG00000102760.12	RGCC
ENSG00000197006.12	METTL9
ENSG00000010361.12	FUZ
ENSG00000141519.13	CCDC40
ENSG00000196372.11	ASB13
ENSG00000240694.7	PNMA2
ENSG00000141985.8	SH3GL1
ENSG00000050767.14	COL23A1
ENSG00000175164.12	ABO
ENSG00000163932.12	PRKCD
ENSG00000197013.8	ZNF429
ENSG00000077063.9	CTTNBP2
ENSG00000105497.6	ZNF175
ENSG00000248008.2	
ENSG00000269707.1	
ENSG00000186104.9	CYP2R1
ENSG00000272221.1	
ENSG00000153721.16	CNKSR3
ENSG00000065054.12	SLC9A3R2
ENSG00000165516.9	KLHDC2
ENSG00000119402.15	FBXW2
ENSG00000032389.11	EIPR1
ENSG00000090905.16	TNRC6A
ENSG00000130755.11	GMFG
ENSG00000161835.9	GRASP
ENSG00000230945.1	
ENSG00000164306.9	PRIMPOL
ENSG00000165629.18	ATP5F1C
ENSG00000230415.1	
ENSG00000175348.9	TMEM9B
ENSG00000187164.16	SHTN1
ENSG00000270179.1	
ENSG00000075891.20	PAX2
ENSG00000138785.13	INTS12
ENSG00000164180.12	TMEM161B
ENSG00000244968.5	
ENSG00000275410.3	HNF1B
ENSG00000230163.1	
ENSG00000182872.14	RBM10
ENSG00000134569.8	LRP4
ENSG00000165487.12	MICU2
ENSG00000169914.5	OTUD3
ENSG00000059769.18	DNAJC25
ENSG00000198914.2	POU3F3
ENSG00000132507.16	EIF5A
ENSG00000187189.10	TSPYL4
ENSG00000166321.12	NUDT13
ENSG00000163938.15	GNL3
ENSG00000153237.16	CCDC148
ENSG00000196323.10	ZBTB44
ENSG00000006757.10	PNPLA4
ENSG00000090054.12	SPTLC1
ENSG00000100385.12	IL2RB
ENSG00000244425.3	
ENSG00000125651.12	GTF2F1
ENSG00000085788.12	DDHD2
ENSG00000139173.8	TMEM117
ENSG00000076356.6	PLXNA2
ENSG00000204388.6	HSPA1B
ENSG00000119392.13	GLE1
ENSG00000157111.11	TMEM171
ENSG00000197254.4	
ENSG00000135047.13	CTSL
ENSG00000119684.14	MLH3
ENSG00000183255.10	PTTG1IP
ENSG00000148143.11	ZNF462
ENSG00000112759.15	SLC29A1
ENSG00000112972.13	HMGCS1
ENSG00000160293.15	VAV2
ENSG00000130768.13	SMPDL3B
ENSG00000119523.9	ALG2
ENSG00000122512.13	PMS2
ENSG00000142632.15	ARHGEF19
ENSG00000005379.14	TSPOAP1
ENSG00000078043.14	PIAS2
ENSG00000115241.10	PPM1G
ENSG00000166734.17	CASC4
ENSG00000134897.12	BIVM
ENSG00000245958.5	
ENSG00000115840.12	SLC25A12
ENSG00000165244.6	ZNF367
ENSG00000259969.1	
ENSG00000148814.16	LRRC27
ENSG00000164616.13	
ENSG00000263142.4	
ENSG00000162600.10	OMA1
ENSG00000126822.14	PLEKHG3
ENSG00000136068.13	FLNB
ENSG00000116497.16	S100PBP
ENSG00000232629.7	HLA-DQB2
ENSG00000145388.13	METTL14
ENSG00000221886.3	ZBED8
ENSG00000107104.17	KANK1
ENSG00000120889.11	TNFRSF10B
ENSG00000144283.20	PKP4
ENSG00000161277.10	THAP8
ENSG00000112855.13	HARS2
ENSG00000116774.10	OLFML3
ENSG00000067248.8	DHX29
ENSG00000267565.1	
ENSG00000167695.13	TLCD3A
ENSG00000156017.11	CARNMT1
ENSG00000163075.11	CFAP221
ENSG00000198521.10	ZNF43
ENSG00000173581.6	CCDC106
ENSG00000141198.12	TOM1L1
ENSG00000153071.13	DAB2
ENSG00000204837.3	
ENSG00000129055.11	ANAPC13
ENSG00000198851.8	CD3E
ENSG00000270055.1	
ENSG00000145723.15	GIN1
ENSG00000188029.7	
ENSG00000167136.6	ENDOG
ENSG00000157456.6	CCNB2
ENSG00000152763.15	WDR78
ENSG00000163521.14	GLB1L
ENSG00000040341.16	STAU2
ENSG00000245060.5	
ENSG00000130956.12	HABP4
ENSG00000164197.10	RNF180
ENSG00000144445.14	KANSL1L
ENSG00000052344.14	PRSS8
ENSG00000153558.12	FBXL2
ENSG00000140153.16	WDR20
ENSG00000161671.15	EMC10
ENSG00000235565.1	
ENSG00000249673.5	
ENSG00000133111.3	RFXAP
ENSG00000105792.18	CFAP69
ENSG00000087095.11	NLK
ENSG00000234160.1	
ENSG00000116678.17	LEPR
ENSG00000185129.5	PURA
ENSG00000158793.12	NIT1
ENSG00000165118.13	C9orf64
ENSG00000213654.8	GPSM3
ENSG00000225791.5	
ENSG00000230521.1	
ENSG00000148225.14	WDR31
ENSG00000184922.12	FMNL1
ENSG00000123329.16	ARHGAP9
ENSG00000203965.11	EFCAB7
